;Name;Stars;From_Centre;From_Beach;Reviews;Rating;Comfort;Img;Price
0;Hotel Santa Faz;2.0;0.2;0.1;355.0;8.1;;"https://cf.bstatic.com/xdata/images/hotel/square600/320475458.jpg?k=f6fa47eac72d6e12e7cedde2be12808a4ed08d69ea3802a6be99b8c23a52f15f&amp;o=";1147.0
1;Apartamentos El Castell;;0.3;0.05;211.0;8.1;;"https://cf.bstatic.com/xdata/images/hotel/square600/84124104.jpg?k=4e84a0849d1a08de0885ad98afd3f1b144f3296a2f48d1a95da85c1c30d618d2&amp;o=";1254.0
2;HR PARADISE RESIDENCIAL LOIX;;2.3;0.8;10.0;9.9;9.8;"https://cf.bstatic.com/xdata/images/hotel/square600/273146343.jpg?k=0828a3c6aa9d6af6fd98a5edf55e3ec11dae66423319a849b3876b56bd670d38&amp;o=";1960.0
3;Ambassador Playa I;4.0;1.8;0.25;557.0;8.6;8.4;"https://cf.bstatic.com/xdata/images/hotel/square600/288827243.jpg?k=a54b0b24c8f22aa8a122c04adf9c21469b41a9f8ac8ef4abb054c72136a337b8&amp;o=";1992.0
4;Apartamentos Oasis Benidorm;;2.1;0.15;1574.0;8.4;8.3;"https://cf.bstatic.com/xdata/images/hotel/square600/116400078.jpg?k=99892fdd495aa616ad6d16bfd7032b6e2bd5c45a60b9b109a5562fd542534104&amp;o=";1680.0
5;La Estación;4.0;1.6;1.6;4370.0;7.9;8.1;"https://cf.bstatic.com/xdata/images/hotel/square600/275119570.jpg?k=48496704aea8dc40ee6b5feb8781904ee2dff497e8392b5df82df9ec4321ee61&amp;o=";1856.0
6;Ambassador Playa II;4.0;1.8;0.25;141.0;8.3;8.6;"https://cf.bstatic.com/xdata/images/hotel/square600/288985097.jpg?k=cd42a328c3d6e456c23024d23be10c018dee522e5d4d0eef4f953b5ea58c74fe&amp;o=";1992.0
7;Port Fiesta Park;3.0;0.6;0.5;2702.0;7.3;;"https://cf.bstatic.com/xdata/images/hotel/square600/310396895.jpg?k=8c5e7a424060a4291e4820115162e394b3c85a88a689e5710ab2ff61c2390b52&amp;o=";1222.0
8;Riviera Beachotel - Adults Only;4.0;1.9;0.35;425.0;9.3;9.4;"https://cf.bstatic.com/xdata/images/hotel/square600/93524655.jpg?k=b9d1bc4bd2201ab4c8d2fe2e3b34697c0cf0fd15446af6387ce6361f1ee33336&amp;o=";2100.0
9;Hotel Boutique Centro BBB;2.0;0.3;0.25;1539.0;6.7;;"https://cf.bstatic.com/xdata/images/hotel/square600/148618644.jpg?k=428f8bb7e171b2adc702e8bc2cae8b9d734a907b0cb2f6ae3d49521d878c3b0e&amp;o=";630000.0
