Id,Date,Name,Stars,Address,Country,City,Postal_Code,Score,Comments,Beach,Coffee/Tea maker,Non Smoking Rooms,n,Airport Shuttle (free),Free WiFi Internet Access Included,Rooms/Facilities for Disabled,Restaurant,Free Parking,Room-service,Garden,Family Rooms,Beach front,Spa & Wellness Centre,Fitness Room,Bar,Airport Shuttle,Parking (fee required),Wireless Lan,Swimming pool,24 hour Front Desk,Private Beach Area,BBQ facilities,Terrace,Elevator,Pets allowed,Price
0,2021-11-02,Ocean Drive Ibiza,nan,"Puerto Marina Botafoch, C/ Iboshim, 725, 07800 Ibiza, España",España,Ibiza,07800,"8,1",427,nan,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,78
1,2021-11-02,Hotel El Faro Marbella,3,"Virgen del Pilar, 11, 29602 Marbella, España",España,Marbella,29602,"8,3",2.034,nan,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,55
2,2021-11-02,Vincci Málaga,4,"Pacífico, 44, Carretera de Cádiz, 29004 Málaga, España",España,Málaga,29004,"8,5",3.801,nan,1,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,99
3,2021-11-02,Casa a Pedreira Rias Baixas,nan,"Folgar, 32, Cuntis - Pontevedra, 36675 Cuntis, España",España,Cuntis,36675,"9,3",42,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,86
4,2021-11-02,Hotel Carlos III,3,"Rey Carlos, 22, 30880 Águilas, España",España,Águilas,30880,"8,3",1.136,"8,6",0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,64
5,2021-11-02,La Villa,3,"Barrio San Xulian, 18, 27797 Villaframil, España",España,Villaframil,27797,"8,3",362,"8,8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,30
6,2021-11-02,Vila De Premiá,2,"Cami Ral 69, 08330 Premiá de Mar, España",España,Mar,08330,"7,7",838,"9,1",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,51
7,2021-11-02,Caserio de Iznájar,2,"EL REMOLINO S/N URB. VALDEARENAS, 14970 Iznájar, España",España,Iznájar,14970,"8,6",715,nan,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,59
8,2021-11-02,Hotel Europa,2,"Avenida Fisterra, 31, 15142 Arteixo, España",España,Arteixo,15142,"8,7",497,"9,0",0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,45
9,2021-11-02,Ave del Mar,1,"Rua do Carme 16, 15123 Camariñas, España",España,Camariñas,15123,"8,2",305,"9,1",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,60
10,2021-11-02,El Oceano Beach Hotel,4,"Miraflores Playa, 29649 La Cala de Mijas, España",España,Mijas,29649,"9,1",326,nan,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,304
11,2021-11-02,Hotel Noia,3,"Curros Enriquez, 27, 15200 Noia, España",España,Noia,15200,"8,9",734,nan,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,55
12,2021-11-02,Hotel Patricia,2,"Avenida Mar Del Sur s/n, Edificio Hotel Patricia, 11312 Torreguadiaro, España",España,Torreguadiaro,11312,"7,9",761,nan,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,52
13,2021-11-02,Hotel de Alba,3,"Alcañices 90 , 49165 Ricobayo, España",España,Ricobayo,49165,"8,8",135,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,60
14,2021-11-02,Hipotels Eurotel Punta Rotja Thalasso-Spa-Golf,4,"Av. del Pinar, s/n, 07559 Costa de los Pinos, España",España,Pinos,07559,"8,7",1.405,nan,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,64
15,2021-11-02,Hostal Ca'n Pep,nan,"Carrer del Calamar 8, 07639 Sa Ràpita, España",España,Ràpita,07639,"8,2",569,"8,9",0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,62
16,2021-11-02,Gran H La Marina 1920,nan,"100 Carrer la Mar, 03590 Altea, España",España,Altea,03590,"8,3",661,nan,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,75
17,2021-11-02,Hotel Hospes Maricel y Spa,5,"Carretera d'Andratx, 11- (urb. Cas Català), 07181 Cas Català, España",España,Català,07181,"8,9",683,"8,5",1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,333
18,2021-11-02,Hotel Sa Coma,3,"Camí des Molí, 3, 07191 Banyalbufar, España",España,Banyalbufar,07191,"8,9",256,nan,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,114
19,2021-11-02,Adia Hotel Cunit Playa,3,"Avenida Tarragona, 2, 43881 Cunit, España",España,Cunit,43881,"8,1",835,"8,6",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,61
20,2021-11-02,Motel Venus Madrid Norte,nan,"Calle la Venta, 27, 28880 Meco, España",España,Meco,28880,"8,4",661,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110
21,2021-11-02,Miracielos,3,"Playa de Miracielos - Barro, 33595 Barro, España",España,Barro,33595,"8,8",594,"9,0",0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,50
22,2021-11-02,Hotel Mitus,1,"Riera de la Torre, 20, 08360 Canet de Mar, España",España,Mar,08360,"8,5",264,"8,5",0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,51
23,2021-11-02,Ciudad de Castelldefels,3,"Paseo de la Marina, 212, 08860 Castelldefels, España",España,Castelldefels,08860,"8,3",1.342,"8,7",0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,70
24,2021-11-02,Hotel Palacio Muñatones,1,"Barrio San Julian, 61, 48550 Muskiz, España",España,Muskiz,48550,"8,5",730,"8,7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,73
25,2021-11-02,Hotel Palacio Muñatones,1,"Barrio San Julian, 61, 48550 Muskiz, España",España,Muskiz,48550,"8,5",730,"8,7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,73
26,2021-11-02,El Hostal del Cubo,nan,"C/ El Sol, 2, 38420 San Juan de la Rambla, España",España,Rambla,38420,"8,7",87,nan,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
